MeshName,VDFPattern,RangeStart,RangeEnd
SKELETON_B_01,SKELETON_0{V},1,4
BODY_01_01,BODY_01_0{V},1,3
BODY_01_11,BODY_01_1{V},1,3
BODY_02_01,BODY_02_0{V},1,3
TENT_01,TENT_0{V},1,3
ORCTENT_01,ORCTENT_0{V},1,4
STAIRS_02_01,STAIRS_02_0{V},1,4
TERRACE_02_01,TERRACE_02_0{V},1,4
TERRACE_02_05,TERRACE_02_0{V},5,9
TERRACE_02_10,TERRACE_02_{V},10,12
TERRACE_02_15,TERRACE_02_{V},15,19
RUIN_02_01,RUIN_07_0{V},1,4
RUIN_02_05,RUIN_07_0{V},5,9
STAIRS_04_01,STAIRS_02_0{V},1,4
TERRACE_04_01,TERRACE_02_0{V},1,4
TERRACE_04_05,TERRACE_02_0{V},5,9
TERRACE_04_10,TERRACE_02_{V},10,12
TERRACE_04_15,TERRACE_02_{V},15,19
TERRACE_04b_01,TERRACE_07_0{V},1,2
RUIN_04_01,RUIN_07_0{V},1,4
RUIN_04_05,RUIN_07_0{V},5,9
TERRACE_06_01,TERRACE_06_0{V},1,7
TERRACE_06_10,TERRACE_06_{V},10,16
TERRACE_06_20,TERRACE_06_{V},20,23
TERRACE_06_30,TERRACE_06_{V},30,34
TERRACE_G_06_01,TERRACE_06_0{V},1,7
TERRACE_G_06_10,TERRACE_06_{V},10,16
TERRACE_G_06_20,TERRACE_06_{V},20,23
TERRACE_G_06_30,TERRACE_06_{V},30,34
TERRACE_07_01,TERRACE_07_0{V},1,2
RUIN_07_01,RUIN_07_0{V},1,4
RUIN_07_05,RUIN_07_0{V},5,9
RUIN_09_01,RUIN_09_0{V},1,4
RUIN_09_05,RUIN_09_0{V},5,9
RUIN_09_10,RUIN_09_{V},10,14
RUIN_09_15,RUIN_09_{V},15,16
EN_MENHIR_01,EN_MENHIR_01_{V},1,4
EN_MENHIR_01_5,EN_MENHIR_01_{V},5,8
EN_STONE_02_small,EN_STONE_02_{V},5,10
EN_STONE_02,EN_STONE_02_{V},1,5
EN_STONE_02_6,EN_STONE_02_{V},6,10
EN_STONE_02_11,EN_STONE_02_{V},11,15
EN_STONE_02c_small,EN_STONE_02_{V},5,10
EN_STONE_02c,EN_STONE_02_{V},5,8
EN_STONE_02c_6,EN_STONE_02_{V},6,10
EN_STONE_02c_11,EN_STONE_02_{V},11,15
EN_STONE_02g_small,EN_STONE_02_{V},5,10
EN_STONE_02g,EN_STONE_02_{V},5,8
EN_STONE_02g_6,EN_STONE_02_{V},6,10
EN_STONE_02g_11,EN_STONE_02_{V},11,15
EN_STONE_02h_small,EN_STONE_02_{V},5,10
EN_STONE_02h,EN_STONE_02_{V},5,8
EN_STONE_02h_6,EN_STONE_02_{V},6,10
EN_STONE_02h_11,EN_STONE_02_{V},11,15
EN_STONE_03,EN_STONE_03_{V},1,5
EN_STONE_03_6,EN_STONE_03_{V},6,10
EN_STONE_03h,EN_STONE_03_{V},1,5
EN_STONE_03h_6,EN_STONE_03_{V},6,10
EN_STONE_04,EN_STONE_04_{V},1,9
EN_STONE_04_10,EN_STONE_04_{V},10,11
EN_STONE_04h,EN_STONE_04_{V},1,9
EN_STONE_04h_10,EN_STONE_04_{V},10,11
EN_STONE_05,EN_STONE_05_{V},1,9
EN_STONE_05h,EN_STONE_05_{V},1,9
EN_STONE_09,EN_STONE_09_{V},1,6
EN_STONE_09_med,EN_STONE_09_{V},1,6
EN_STONE_09_small,EN_STONE_09_{V},1,6
EN_STONE_09g,EN_STONE_09_{V},1,6
EN_STONE_09g_med,EN_STONE_09_{V},1,6
EN_STONE_09g_small,EN_STONE_09_{V},1,6
EN_STONE_10,EN_STONE_10_{V},1,6
EN_STONE_10_med,EN_STONE_10_{V},1,6
EN_STONE_10_small,EN_STONE_10_{V},1,6
EN_STONE_11,EN_STONE_11_{V},1,6
EN_STONE_11_med,EN_STONE_11_{V},1,6
EN_STONE_11_small,EN_STONE_11_{V},1,6
EN_STONE_11g,EN_STONE_11_{V},1,6
EN_STONE_11g_med,EN_STONE_11_{V},1,6
EN_STONE_11g_small,EN_STONE_11_{V},1,6
EN_TRUNK_01,EN_TRUNK_01_{V},1,5
EN_TRUNK_02,EN_TRUNK_02_{V},1,5
EN_DEAD_TREE_01,DEAD_TREE_0{V},1,4
EN_TREE_01,EN_TREE_01_{V},1,2
EN_TREE_01_s,EN_TREE_01_{V},5,6
EN_TREE_02,EN_TREE_02_{V},1,2
EN_TREE_02_s,EN_TREE_02_{V},5,6
EN_TREE_03,EN_TREE_03_{V},1,2
EN_TREE_03_s,EN_TREE_03_{V},5,6
EN_TREE_04,EN_TREE_04_{V},1,2
EN_TREE_04_s,EN_TREE_04_{V},5,6
EN_TREE_05,EN_TREE_05_{V},1,2
EN_TREE_05_s,EN_TREE_05_{V},5,6
EN_TREE_06,EN_TREE_06_{V},1,2
EN_TREE_06_s,EN_TREE_06_{V},5,6
EN_TREE_07,EN_TREE_07_{V},1,2
EN_TREE_07_s,EN_TREE_07_{V},5,6
EN_TREE_08,EN_TREE_08_{V},1,2
EN_TREE_08_s,EN_TREE_08_{V},5,6
EN_TREE_09,EN_TREE_09_{V},1,2
EN_TREE_09_s,EN_TREE_09_{V},5,6
EN_TREE_10,EN_TREE_10_{V},1,2
EN_TREE_10_s,EN_TREE_10_{V},5,6
EN_TREE_11,EN_TREE_11_{V},1,2
EN_TREE_11_s,EN_TREE_11_{V},5,6
EN_TREE_12_s,EN_TREE_12_{V},5,6
EN_TREE_13,EN_TREE_13_{V},1,2
EN_TREE_13_s,EN_TREE_13_{V},5,6
EN_TREE_14,EN_TREE_14_{V},1,2
EN_TREE_15,EN_TREE_15_{V},1,2
EN_TREE_16,EN_TREE_16_{V},1,2
EN_TREE_17,EN_TREE_17_{V},1,2
EN_TREE_18,EN_TREE_18_{V},1,2
EN_TREE_19,EN_TREE_19_{V},1,2
_deleted_EN_TREE_20,EN_TREE_20_{V},1,2
_deleted_EN_TREE_20_s,EN_TREE_20_{V},5,6
_deleted_EN_TREE_21,EN_TREE_21_{V},1,2
_deleted_EN_TREE_21_s,EN_TREE_21_{V},5,6
_deleted_EN_TREE_22,EN_TREE_22_{V},1,2
_deleted_EN_TREE_22_s,EN_TREE_22_{V},5,6
_deleted_EN_TREE_23,EN_TREE_23_{V},1,2
_deleted_EN_TREE_23_s,EN_TREE_23_{V},5,6
EN_TREE_24,EN_TREE_24_{V},1,2
EN_TREE_24_s,EN_TREE_24_{V},5,6
EN_TREE_25,EN_TREE_25_{V},1,2
EN_TREE_25_s,EN_TREE_25_{V},5,6
EN_TREE_26,EN_TREE_26_{V},1,2
EN_TREE_26_s,EN_TREE_26_{V},5,6
EN_TREE_27,EN_TREE_27_{V},1,2
EN_TREE_27_s,EN_TREE_27_{V},5,6
EN_TREE_28,EN_TREE_28_{V},1,2
EN_TREE_28_s,EN_TREE_28_{V},5,6
EN_TREE_29,EN_TREE_29_{V},1,2
EN_TREE_30,BURNT_TREE_0{V},1,2
EN_TREE_30_s,BURNT_TREE_0{V},3,4
EN_BAMBOO_01,EN_BAMBOO_01_{V},1,2
EN_PALM_01,EN_PALM_01_{V},1,2
EN_PALM_01_s,EN_PALM_01_{V},5,6
EN_PLANT_04,EN_PLANT_04_{V},1,9
EN_PLANT_04_10,EN_PLANT_04_{V},10,18
EN_BUSH_01,EN_BUSH_01_{V},1,2
EN_BUSH_01_s,EN_BUSH_01_{V},5,6
EN_BUSH_02,EN_BUSH_02_{V},1,2
EN_BUSH_02_s,EN_BUSH_02_{V},5,6
EN_BUSH_03,EN_BUSH_03_{V},1,2
EN_BUSH_03_s,EN_BUSH_03_{V},5,6
EN_BUSH_04,EN_BUSH_04_{V},1,2
EN_BUSH_04_s,EN_BUSH_04_{V},5,6
EN_BUSH_05,EN_BUSH_05_{V},1,2
EN_BUSH_05_s,EN_BUSH_05_{V},5,6
EN_BUSH_06,EN_BUSH_06_{V},1,2
EN_BUSH_06_s,EN_BUSH_06_{V},5,6
EN_BUSH_07,EN_BUSH_07_{V},1,2
EN_BUSH_07_s,EN_BUSH_07_{V},5,6
EN_BUSH_08,EN_BUSH_08_{V},1,2
EN_BUSH_08_s,EN_BUSH_08_{V},5,6
EN_BUSH_09,EN_BUSH_09_{V},1,2
EN_BUSH_09_s,EN_BUSH_09_{V},5,6
EN_BUSH_10,EN_BUSH_10_{V},1,2
EN_BUSH_10_s,EN_BUSH_10_{V},5,6
EN_BUSH_11,EN_BUSH_11_{V},1,2
EN_BUSH_11_s,EN_BUSH_11_{V},5,6
EN_BUSH_12,EN_BUSH_12_{V},1,2
EN_BUSH_13,EN_BUSH_13_{V},1,2
BARWARE_01,BARWARE_0{V},1,4
BARWARE_11,BARWARE_1{V},1,2
BARWARE_21,BARWARE_2{V},1,5
HRF_SOFA_01,HRF_SOFA_0{V},1,2
HRF_CHAIR_01,HRF_CHAIR_0{V},1,2
HRF_STOOL_01,HRF_STOOL_0{V},1,2
HPF_CHEST_01,HPF_CHEST_0{V},1,2
HTF_COUNTER_01,HTF_COUNTER_0{V},1,3
HTF_STOOL_01,HTF_STOOL_0{V},1,2
HPE_POT_01,HPE_POT_0{V},1,5
HPE_POT_06,HPE_POT_0{V},6,7
HPE_POT_08,HPE_POT_0{V},8,9
HPE_POT_10,HPE_POT_{V},10,13
HPE_POT_14,HPE_POT_{V},14,15
HRE_POT_01,HRE_POT_0{V},1,5
HRE_LAMP,HRE_POT_0{V},6,7
HRE_FLOWERPOT,HRE_POT_0{V},8,9
HRE_GOBLET,HRE_POT_{V},10,12
HRE_BOOK_01,HRE_BOOK_0{V},1,8
CAVE_CEILING_01_01,CAVE_CEILING_01_0{V},1,5
CAVE_FLOOR_01_01,CAVE_FLOOR_01_0{V},1,5
CAVE_CORR_B_01,CAVE_CORR_01_B_0{V},1,3
CAVE_CORR_C_01,CAVE_CORR_01_C_0{V},1,2
CAVE_CORR_D_01,CAVE_CORR_01_D_0{V},1,2
CAVE_CORR_I_01,CAVE_CORR_01_I_0{V},1,2
CAVE_CORR_J_01,CAVE_CORR_01_J_0{V},1,2
CAVE_CORR_K_01,CAVE_CORR_01_K_0{V},1,2
CAVE_CORR_L_01,CAVE_CORR_01_L_0{V},1,2
CAVE_CORR_B_02,CAVE_CORR_01_B_0{V},1,3
CAVE_CORR_C_02,CAVE_CORR_01_C_0{V},1,2
CAVE_CORR_D_02,CAVE_CORR_01_D_0{V},1,2
CAVE_CORR_I_02,CAVE_CORR_01_I_0{V},1,2
CAVE_CORR_J_02,CAVE_CORR_01_J_0{V},1,2
CAVE_CORR_K_02,CAVE_CORR_01_K_0{V},1,2
CAVE_CORR_L_02,CAVE_CORR_01_L_0{V},1,2
CAVE_CORR_B_03,CAVE_CORR_01_B_0{V},1,3
CAVE_CORR_C_03,CAVE_CORR_01_C_0{V},1,2
CAVE_CORR_D_03,CAVE_CORR_01_D_0{V},1,2
CAVE_CORR_I_03,CAVE_CORR_01_I_0{V},1,2
CAVE_CORR_J_03,CAVE_CORR_01_J_0{V},1,2
CAVE_CORR_K_03,CAVE_CORR_01_K_0{V},1,2
CAVE_CORR_L_03,CAVE_CORR_01_L_0{V},1,2
CAVE_CORR_B_04,CAVE_CORR_01_B_0{V},1,3
CAVE_CORR_C_04,CAVE_CORR_01_C_0{V},1,2
CAVE_CORR_D_04,CAVE_CORR_01_D_0{V},1,2
CAVE_CORR_I_04,CAVE_CORR_01_I_0{V},1,2
CAVE_CORR_J_04,CAVE_CORR_01_J_0{V},1,2
CAVE_CORR_K_04,CAVE_CORR_01_K_0{V},1,2
CAVE_CORR_L_04,CAVE_CORR_01_L_0{V},1,2
CAVE_CORR_B_05,CAVE_CORR_01_B_0{V},1,3
CAVE_CORR_C_05,CAVE_CORR_01_C_0{V},1,2
CAVE_CORR_D_05,CAVE_CORR_01_D_0{V},1,2
CAVE_CORR_I_05,CAVE_CORR_01_I_0{V},1,2
CAVE_CORR_J_05,CAVE_CORR_01_J_0{V},1,2
CAVE_CORR_K_05,CAVE_CORR_01_K_0{V},1,2
CAVE_CORR_L_05,CAVE_CORR_01_L_0{V},1,2
MINE_CORR_B_01,MINE_CORR_01_B_0{V},1,3
MINE_CORR_C_01,MINE_CORR_01_C_0{V},1,2
MINE_CORR_D_01,MINE_CORR_01_D_0{V},1,2
MINE_CORR_I_01,MINE_CORR_01_I_0{V},1,2
MINE_CORR_J_01,MINE_CORR_01_J_0{V},1,2
MINE_CORR_K_01,MINE_CORR_01_K_0{V},1,2
MINE_CORR_L_01,MINE_CORR_01_L_0{V},1,2
DUN_CORR_B_01,DUN_CORR_01_B_0{V},1,3
DUN_CORR_C_01,DUN_CORR_01_C_0{V},1,2
DUN_CORR_D_01,DUN_CORR_01_D_0{V},1,2
DUN_CORR_I_01,DUN_CORR_01_I_0{V},1,2
DUN_CORR_J_01,DUN_CORR_01_J_0{V},1,2
DUN_CORR_K_01,DUN_CORR_01_K_0{V},1,2
DUN_CORR_L_01,DUN_CORR_01_L_0{V},1,2
DUN_CORR_B_02,DUN_CORR_01_B_0{V},1,3
DUN_CORR_C_02,DUN_CORR_01_C_0{V},1,2
DUN_CORR_D_02,DUN_CORR_01_D_0{V},1,2
DUN_CORR_I_02,DUN_CORR_01_I_0{V},1,2
DUN_CORR_J_02,DUN_CORR_01_J_0{V},1,2
DUN_CORR_K_02,DUN_CORR_01_K_0{V},1,2
DUN_CORR_L_02,DUN_CORR_01_L_0{V},1,2
DUN_CORR_B_03,DUN_CORR_01_B_0{V},1,3
DUN_CORR_C_03,DUN_CORR_01_C_0{V},1,2
DUN_CORR_D_03,DUN_CORR_01_D_0{V},1,2
DUN_CORR_I_03,DUN_CORR_01_I_0{V},1,2
DUN_CORR_J_03,DUN_CORR_01_J_0{V},1,2
DUN_CORR_K_03,DUN_CORR_01_K_0{V},1,2
DUN_CORR_L_03,DUN_CORR_01_L_0{V},1,2
DUN_CORR_B_04,DUN_CORR_01_B_0{V},1,3
DUN_CORR_C_04,DUN_CORR_01_C_0{V},1,2
DUN_CORR_D_04,DUN_CORR_01_D_0{V},1,2
DUN_CORR_I_04,DUN_CORR_01_I_0{V},1,2
DUN_CORR_J_04,DUN_CORR_01_J_0{V},1,2
DUN_CORR_K_04,DUN_CORR_01_K_0{V},1,2
DUN_CORR_L_04,DUN_CORR_01_L_0{V},1,2
DUN_CORR_B_07,DUN_CORR_01_B_0{V},1,3
DUN_CORR_C_07,DUN_CORR_01_C_0{V},1,2
DUN_CORR_D_07,DUN_CORR_01_D_0{V},1,2
DUN_CORR_I_07,DUN_CORR_01_I_0{V},1,2
DUN_CORR_J_07,DUN_CORR_01_J_0{V},1,2
DUN_CORR_K_07,DUN_CORR_01_K_0{V},1,2
DUN_CORR_L_07,DUN_CORR_01_L_0{V},1,2
DUN_CORR_B_07B,DUN_CORR_01_B_0{V},1,3
DUN_CORR_C_07B,DUN_CORR_01_C_0{V},1,2
DUN_CORR_D_07B,DUN_CORR_01_D_0{V},1,2
DUN_CORR_I_07B,DUN_CORR_01_I_0{V},1,2
DUN_CORR_J_07B,DUN_CORR_01_J_0{V},1,2
DUN_CORR_K_07B,DUN_CORR_01_K_0{V},1,2
DUN_CORR_L_07B,DUN_CORR_01_L_0{V},1,2
ROCK_01_1,EN_ROCK_01_{V},1,4
ROCK_01_5,EN_ROCK_01_{V},5,8
ROCK_02_1,EN_ROCK_01_{V},1,4
ROCK_02_5,EN_ROCK_01_{V},5,8
FENCE_01_01,FENCE_01_0{V},1,3
FENCE_01_04,FENCE_01_0{V},4,6
FENCE_01_07,FENCE_01_0{V},7,9
FENCE_02_01,FENCE_02_0{V},1,5
FENCE_02_06,FENCE_02_0{V},6,9
FENCE_02_10,FENCE_02_{V},10,13
FENCE_02_14,FENCE_02_{V},14,16
FENCE_02_17,FENCE_02_{V},17,21
ARC_02_01,ARC_02_0{V},1,3
GRAVE_01,GRAVE_01_{V},1,6
OBELISK_01,OBELISK_01_{V},1,3
FENCE_03_01,FENCE_03_0{V},1,9
FENCE_03_11,FENCE_03_{V},11,14
FENCE_04_01,FENCE_04_0{V},1,9
FENCE_04_11,FENCE_04_{V},11,15
FENCE_04_16,FENCE_04_{V},16,20
FENCE_05_01,FENCE_05_0{V},1,9
FENCE_06_01,FENCE_06_0{V},1,9
FENCE_06_10,FENCE_06_{V},10,15
FENCE_07_01,FENCE_07_0{V},1,9
FENCE_07_10,FENCE_07_{V},10,13
FENCE_08_01,FENCE_06_0{V},1,9
FENCE_08_10,FENCE_06_{V},10,15
FENCE_09_01,FENCE_09_0{V},1,5
WALL_01_01,WALL_01_0{V},1,3
TOWER_01_01,TOWER_01_0{V},1,3
WALL_02_01,WALL_02_0{V},1,2
TOWER_02_01,TOWER_02_0{V},1,3
WALL_04_01,WALL_04_0{V},1,3
TOWER_04_01,TOWER_04_0{V},1,4
WALL_06_01,WALL_06_0{V},1,4
TOWER_06_01,TOWER_06_0{V},1,3
WALL_07_01,WALL_07_0{V},1,2
TOWER_07_01,TOWER_07_0{V},1,3
WALL_08_01,WALL_08_0{V},1,2
ANKH_01,ANKH_0{V},1,4
ALTAR_01,ALTAR_0{V},1,4
MONUMENT_01,MONUMENT_01_{V},1,4
MONUMENT_02,MONUMENT_02_{V},1,4
MONUMENT_02h,MONUMENT_02_{V},1,4
MONUMENT_03,MONUMENT_03_{V},1,4
MONUMENT_03h,MONUMENT_03_{V},1,4
MONUMENT_04,MONUMENT_04_{V},1,4
MONUMENT_05,MONUMENT_05_{V},1,3
MONUMENT_05h,MONUMENT_05_{V},1,3
BARREL_01,BARREL_01_{V},1,9
BARREL_02,BARREL_02_{V},1,3
WOODPIECES_01,WOODPIECES_0{V},1,5
WOODPIECES_10,WOODPIECES_1{V},1,5
WOODPIECES_16,WOODPIECES_1{V},6,7
CRATE_01,CRATE_01_{V},1,9
CRATE_11,CRATE_01_1{V},1,5
FABRIC_01,FABRIC_01_{V},1,4
SACK_01,SACK_01_{V},1,5
SACK_11,SACK_01_{V},11,15
Vehicle_Part_01,VE_CAR_PART_0{V},1,4
HEAD_S_HUMAN,HEAD_HUMAN_0{V},1,5
HEAD_S_GOBLIN,HEAD_GOBLIN_0{V},1,5
HEAD_S_ORC,HEAD_ORC_0{V},1,5
HEAD_S_SKULL,HEAD_SKULL_0{V},1,5
HEAD_BOAR,HEAD_BOAR_0{V},1,4
HEAD_BEAR,HEAD_BEAR_0{V},1,4
HEAD_WOLF,HEAD_WOLF_0{V},1,4
HEAD_DEAR,HEAD_DEAR_0{V},1,4
HEAD_UNICORN,HEAD_UNICORN_0{V},1,4
HEAD_RAPTOR,HEAD_RAPTOR_0{V},1,4
HEAD_VYVERN,HEAD_VYVERN_0{V},1,4
CARPET_01,CARPET_0{V},1,9
PAINTING_01,PAINTING_0{V},1,9
PAINTING_10,PAINTING_0{V},1,9
PAINTING_20,PAINTING_0{V},1,9
PAINTING_30,PAINTING_0{V},1,9
PAINTING_40,PAINTING_0{V},1,9
TAPESTRY_01,TAPESTRY_0{V},1,9
TAPESTRY_10,TAPESTRY_0{V},1,9
TAPESTRY_20,TAPESTRY_0{V},1,9
FLAG_01,FLAG_0{V},1,9
FLAG_10,FLAG_0{V},1,9
FLAG_20,FLAG_0{V},1,9
FLAG_30,FLAG_0{V},1,9
FLAG_40,FLAG_0{V},1,9
FLAG_50,FLAG_0{V},1,9
FLAG_60,FLAG_0{V},1,9
FLAG_70,FLAG_0{V},1,9
FLAG_80,FLAG_0{V},1,9
MINE_01_1,MINE_01_{V},1,5
MINE_01_6,MINE_01_{V},6,10
MINE_01_11,MINE_01_{V},11,15
MINE_01_16,MINE_01_{V},16,19
MINE_01_20,MINE_01_{V},20,24
MINE_01_25,MINE_01_{V},25,29
MINE_01_30,MINE_01_{V},30,34
WELL_01_1,WELL_01_{V},1,4
WELL_01_11,WELL_01_{V},11,14
WELL_01_21,WELL_01_{V},21,24
WELL_01_31,WELL_01_{V},31,34
